Set_pos_x,Set_pos_y,Set_pos_z,Drone_pos_x,Drone_pos_y,Drone_pos_z,Com_shoulder,Com_elbow,Com_wrist_p,Com_wrist_r,Com_gripper,Manip_shoulder,Manip_elbow,Manip_wrist_p,Manip_wrist_r,Manip_gripper
57371518 -1,126 1,548 1,070 -1,126 1,548 1,070 
57371590 -1,126 1,550 1,068 -1,126 1,550 1,068 
57371702 -1,126 1,551 1,067 -1,126 1,551 1,067 
57371811 -1,126 1,554 1,063 -1,126 1,554 1,063 
57371926 -1,125 1,556 1,059 -1,125 1,556 1,059 
57371971 -1,125 1,557 1,058 -1,125 1,557 1,058 
57372109 -1,123 1,560 1,051 -1,123 1,560 1,051 
57372156 -1,123 1,560 1,051 -1,123 1,560 1,051 
57372326 -1,120 1,564 1,043 -1,120 1,564 1,043 
57372420 -1,118 1,566 1,037 -1,118 1,566 1,037 
57372519 -1,116 1,568 1,034 -1,116 1,568 1,034 
57372593 -1,115 1,569 1,031 -1,115 1,569 1,031 
57372688 -1,112 1,574 1,023 -1,112 1,574 1,023 
57372788 -1,112 1,574 1,023 -1,112 1,574 1,023 
57372865 -1,111 1,577 1,019 -1,111 1,577 1,019 
57372987 -1,112 1,580 1,015 -1,112 1,580 1,015 
57373119 -1,115 1,586 1,007 -1,115 1,586 1,007 
57373206 -1,116 1,588 1,004 -1,116 1,588 1,004 
57373314 -1,118 1,590 1,001 -1,118 1,590 1,001 
57373409 -1,115 1,593 0,998 -1,121 1,593 0,996 
57373502 -1,107 1,593 0,998 -1,123 1,595 0,994 
57373608 -1,097 1,593 0,997 -1,128 1,597 0,990 
57373693 -1,089 1,594 0,997 -1,132 1,599 0,987 
57373770 -1,081 1,594 0,997 -1,135 1,600 0,985 
57373912 -1,070 1,592 0,997 -1,142 1,601 0,982 
57373980 -1,067 1,590 0,997 -1,142 1,601 0,982 
57374123 -1,057 1,579 0,997 -1,149 1,602 0,979 
57374204 -1,053 1,573 0,997 -1,151 1,602 0,979 
57374278 -1,050 1,566 0,996 -1,155 1,601 0,978 
57374402 -1,050 1,555 0,997 -1,160 1,599 0,977 
57374455 -1,050 1,551 0,997 -1,161 1,598 0,976 
57374636 -1,049 1,538 0,997 -1,168 1,585 0,977 
57374770 -1,049 1,527 0,997 -1,166 1,578 0,979 
57374823 -1,049 1,523 0,997 -1,166 1,578 0,979 
57374970 -1,048 1,513 0,997 -1,157 1,569 0,980 
57375019 -1,048 1,507 0,997 -1,154 1,567 0,980 
57375144 -1,048 1,497 0,997 -1,146 1,562 0,979 
57375200 -1,048 1,494 0,997 -1,141 1,560 0,979 
57375332 -1,047 1,484 0,997 -1,131 1,558 0,977 
57375412 -1,047 1,482 0,997 -1,131 1,558 0,977 
57375552 -1,047 1,473 0,997 -1,117 1,555 0,975 
57375673 -1,047 1,467 0,997 -1,110 1,554 0,973 
57375724 -1,047 1,467 0,997 -1,109 1,554 0,973 
57375879 -1,047 1,467 0,997 -1,104 1,553 0,971 
57375970 -1,042 1,467 0,997 -1,103 1,549 0,970 
57376058 -1,036 1,467 0,996 -1,102 1,543 0,969 
57376173 -1,028 1,468 0,996 -1,102 1,538 0,968 
57376269 -1,024 1,468 0,996 -1,102 1,536 0,968 
57376395 -1,012 1,468 0,996 -1,103 1,527 0,966 
57376478 -1,006 1,468 0,996 -1,102 1,522 0,966 
57376561 -0,998 1,469 0,996 -1,102 1,519 0,965 
57376687 -0,988 1,469 0,996 -1,101 1,514 0,965 
57376767 -0,984 1,469 0,993 -1,100 1,510 0,966 
57376911 -0,971 1,470 0,986 -1,093 1,501 0,968 
57377019 -0,961 1,470 0,980 -1,093 1,500 0,969 
57377068 -0,957 1,470 0,978 -1,089 1,496 0,971 
57377192 -0,946 1,471 0,971 -1,084 1,493 0,973 
57377230 -0,942 1,471 0,969 -1,082 1,492 0,973 
57377401 -0,928 1,471 0,960 -1,075 1,492 0,975 
57377489 -0,921 1,472 0,956 -1,073 1,493 0,975 
57377564 -0,913 1,472 0,951 -1,068 1,494 0,975 
57377708 -0,902 1,472 0,944 -1,062 1,496 0,974 
57377818 -0,893 1,473 0,938 -1,058 1,498 0,973 
57377899 -0,889 1,473 0,936 -1,056 1,499 0,972 
57378010 -0,877 1,473 0,928 -1,048 1,502 0,969 
57378101 -0,870 1,474 0,924 -1,044 1,504 0,966 
57378217 -0,859 1,474 0,917 -1,035 1,508 0,961 
57378319 -0,851 1,474 0,912 -1,034 1,509 0,960 
57378394 -0,844 1,475 0,907 -1,031 1,510 0,958 
57378477 -0,838 1,475 0,904 -1,025 1,515 0,954 
57378609 -0,827 1,475 0,897 -1,019 1,521 0,948 
57378725 -0,817 1,476 0,891 -1,013 1,526 0,943 
57378769 -0,814 1,476 0,891 -1,012 1,527 0,941 
57378888 -0,805 1,476 0,891 -1,008 1,530 0,936 
57379021 -0,796 1,476 0,891 -1,000 1,534 0,927 
57379069 -0,794 1,476 0,889 -0,998 1,534 0,924 
57379154 -0,789 1,477 0,884 -0,998 1,534 0,924 
57379291 -0,782 1,477 0,873 -0,983 1,537 0,906 
57379408 -0,776 1,477 0,863 -0,976 1,537 0,897 
57379485 -0,773 1,477 0,858 -0,976 1,537 0,897 
57379623 -0,765 1,478 0,845 -0,963 1,536 0,883 
57379697 -0,760 1,478 0,838 -0,963 1,536 0,883 
57379801 -0,756 1,478 0,830 -0,950 1,533 0,869 
57379876 -0,751 1,478 0,822 -0,950 1,533 0,869 
57380008 -0,743 1,478 0,811 -0,935 1,528 0,854 
57380060 -0,740 1,478 0,806 -0,903 1,518 0,829 
57380207 -0,729 1,479 0,791 -0,888 1,514 0,821 
57380324 -0,723 1,479 0,782 -0,849 1,507 0,807 
57380423 -0,716 1,479 0,772 -0,832 1,505 0,805 
57380522 -0,710 1,480 0,764 -0,825 1,504 0,806 
57380589 -0,706 1,480 0,758 -0,809 1,503 0,809 
57380719 -0,699 1,480 0,749 -0,797 1,502 0,815 
57380787 -0,695 1,480 0,743 -0,789 1,502 0,820 
