Set_pos_x,Set_pos_y,Set_pos_z,Drone_pos_x,Drone_pos_y,Drone_pos_z,Com_shoulder,Com_elbow,Com_wrist_p,Com_wrist_r,Com_gripper,Manip_shoulder,Manip_elbow,Manip_wrist_p,Manip_wrist_r,Manip_gripper
-0,326 1,574 0,999 -0,373 1,556 0,974 0 5 -90 -90 135  
-0,326 1,574 0,999 -0,380 1,556 0,976 0 5 -90 -90 135  
-0,326 1,574 0,999 -0,384 1,556 0,977 0 5 -90 -90 135  
-0,326 1,574 0,999 -0,399 1,557 0,984 0 5 -90 -90 135  
-0,326 1,574 0,999 -0,406 1,558 0,988 0 5 -90 -90 135  
-0,326 1,574 0,999 -0,414 1,559 0,992 0 5 -90 -90 135  
-0,326 1,574 0,999 -0,423 1,560 0,998 0 5 -90 -90 135  
-0,326 1,574 0,999 -0,433 1,562 1,005 0 5 -90 -90 135  
-0,326 1,574 0,999 -0,446 1,568 1,015 0 5 -90 -90 135  
-0,326 1,574 0,999 -0,456 1,573 1,024 0 5 -90 -90 135  
-0,326 1,574 0,999 -0,458 1,575 1,027 0 -1 -2 -90 38  
-0,326 1,574 0,999 -0,464 1,579 1,033 -49 -1 -2 -90 38  
-0,326 1,574 0,999 -0,472 1,585 1,043 -18 -1 -2 -90 38  
-0,326 1,574 0,999 -0,476 1,588 1,047 -6 -1 -2 -90 38  
-0,326 1,574 0,999 -0,477 1,589 1,050 -56 -7 -2 -90 38  
-0,326 1,574 0,999 -0,478 1,591 1,052 -64 -8 -2 -90 38  
-0,326 1,574 0,999 -0,479 1,592 1,054 -63 -6 -2 -90 38  
-0,326 1,574 0,999 -0,479 1,593 1,055 -62 -5 -2 -90 38  
-0,326 1,574 0,999 -0,478 1,594 1,056 -76 -6 -2 -90 38  
-0,326 1,574 0,999 -0,475 1,596 1,056 -93 -9 -17 -90 38  
-0,326 1,574 0,999 -0,475 1,596 1,056 -101 -11 -27 -90 38  
-0,326 1,574 0,999 -0,475 1,596 1,056 -106 -13 -33 -90 38  
-0,326 1,574 0,999 -0,470 1,598 1,054 -110 -16 -41 -90 38  
-0,326 1,574 0,999 -0,464 1,600 1,053 -114 -24 -53 -90 38  
-0,326 1,574 0,999 -0,457 1,599 1,052 -116 -32 -63 -90 38  
-0,326 1,574 0,999 -0,449 1,596 1,051 -125 -43 -83 -90 38  
-0,326 1,574 0,999 -0,444 1,594 1,051 -132 -48 -95 -90 38  
